scene,model,http_status,raw_present,visual_grade,defect_types,visual_note,pairwise_choice
21,flash_high,200,yes,reject,invented_numbers,"게이지와 장치의 임의 수치",none
22,pro_priority,200,yes,pass,none,"분기 실적 붕괴를 그래프와 파편으로 명확히 표현",preferred
22,flash_high,200,yes,pass,none,"붕괴 그래프와 캐릭터 반응 정상",alternate
23,pro_priority,200,yes,reject,invented_numbers,"결정론 대상 지수 숫자를 직접 생성",none
23,flash_high,200,yes,reject,invented_numbers,"대형 지수 숫자를 직접 생성",none
24,pro_priority,200,yes,pass,none,"저점과 회복 구도를 여백 없이 명확히 표현",preferred
24,flash_high,200,yes,pass,none,"회복 그래프와 실험실 장면 정상",alternate
25,pro_priority,200,yes,pass,none,"코스닥·반도체와 생산라인 의미가 정확",alternate
25,flash_high,200,yes,pass,none,"코스닥·반도체, 생산 장비와 눈 구조가 우수",preferred
26,pro_priority,200,yes,reject,invented_numbers|pseudotext,"순위 숫자와 의사기호를 직접 생성",none
26,flash_high,200,yes,reject,invented_numbers|pseudotext,"순위·메달·의사기호를 직접 생성",none
27,pro_priority,200,yes,pass,none,"기업 발표와 세 개 패널 구도가 명확",preferred
27,flash_high,200,yes,pass,none,"발표 장면과 데이터 패널 정상",alternate
28,pro_priority,200,yes,pass,none,"대형주 1회와 관제실 구도가 정확",preferred
28,flash_high,200,yes,pass,none,"대형주 1회와 하락 관제실 의미 정상",alternate
29,pro_priority,200,yes,reject,unapproved_text|typo,"SAMSUNG ELECTRONICS와 SK HYNYX 비승인·오탈자",none
29,flash_high,200,yes,pass,none,"삼성전자·SK하이닉스가 정확하고 실험실 구도 정상",preferred
30,pro_priority,200,yes,pass,none,"대형주를 정확히 한 번 표시하고 제외 의미를 전달",preferred
30,flash_high,200,yes,reject,missing_approved_text,"대형주 승인 문구 누락",none
31,pro_priority,200,yes,reject,unapproved_text,"비승인 한국어 배너 추가",none
31,flash_high,200,yes,pass,none,"삼성전자·SK하이닉스만 물리 태그에 정확히 표시",preferred
32,pro_priority,200,yes,pass,none,"데이터 흐름과 실험실 구도가 밀도 있게 연결",preferred
32,flash_high,200,yes,pass,none,"데이터 흐름과 얼굴 구조 정상",alternate
33,pro_priority,200,yes,pass,none,"반도체와 상하 대비가 명확",preferred
33,flash_high,200,yes,pass,none,"반도체와 양분된 전망 의미 정상",alternate
34,pro_priority,200,yes,reject,unapproved_text|pseudotext,"NEWS와 신문 의사문자",none
34,flash_high,200,yes,reject,pseudotext,"신문 다발의 의사문자",none
35,pro_priority,200,yes,pass,none,"전망치·경고가 서로 다른 표면에 정확",alternate
35,flash_high,200,yes,pass,none,"전망치·경고의 표면 배치와 날씨 대비가 가장 명확",preferred
36,pro_priority,200,yes,review,style_drift,"캐릭터 얼굴이 인간형에 가까워 채널 정체성 약화",alternate
36,flash_high,200,yes,pass,none,"분할 시장과 캐릭터 실루엣이 안정적",preferred
37,pro_priority,200,yes,pass,none,"탐정·저울·증거 비교를 깨끗하게 표현",preferred
37,flash_high,http_504,no,not_generated,transport_failure,"raw 없음",none
38,pro_priority,200,yes,reject,invented_numbers,"계산기에 임의 의사수치",none
38,flash_high,200,yes,reject,invented_numbers,"계산기에 임의 의사수치",none
39,pro_priority,200,yes,reject,invented_numbers,"디지털 계기에 임의 숫자",none
39,flash_high,200,yes,reject,invented_numbers,"디지털 계기에 임의 숫자",none
40,pro_priority,200,yes,reject,unapproved_text|invented_numbers,"PROFIT과 계산기 숫자 직접 생성",none
40,flash_high,200,yes,reject,invented_numbers,"계산기와 대시보드의 임의 숫자",none
41,pro_priority,200,yes,pass,none,"검증 완료와 비교 발표를 균형 있게 표현",preferred
41,flash_high,200,yes,pass,none,"검증 완료와 비교 패널 정상",alternate
43,pro_priority,200,yes,review,duplicate_text,"외국인 문구가 여러 장치에 반복",preferred
43,flash_high,200,yes,reject,duplicate_text,"외국인 문구가 다수 표면에 반복",none
44,pro_priority,200,yes,reject,unapproved_text|duplicate_text,"TICKER 등 비승인 영문과 반도체 반복",none
44,flash_high,200,yes,reject,unapproved_text,"WALL STREET TICKER 비승인 영문",none
45,pro_priority,200,yes,review,unapproved_text,"DATA 비승인 영문",alternate
45,flash_high,200,yes,pass,none,"코스피와 상승 데이터랩을 깨끗하게 표현",preferred
46,pro_priority,200,yes,pass,none,"코스닥·반도체와 단계적 상승을 밀도 있게 표현",preferred
46,flash_high,200,yes,pass,composition,"승인 문구는 정확하지만 중앙 빈 화면으로 정보 밀도 저하",alternate
47,pro_priority,200,yes,reject,speech_bubble|unapproved_text,"질문형 연기 말풍선과 UNSTABLE VALUATION",none
47,flash_high,200,yes,reject,speech_bubble,"계획되지 않은 질문 말풍선",none
